,Номер животного,Ушная бирка животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события
22,504116,-,F,5,MA,1,4/19/2015,61,228,6,6,СУХОСТ,349,7/3/2022,CEBA
23,504116,-,F,6,MD,1,4/19/2015,9,0,17,17,ОТЕЛ,0,7/12/2022,-
24,504116,-,F,6,MD,1,4/19/2015,9,0,44,17,ПРОДАНА,2,7/14/2022,ПРОДАНА ; Причина 12 ; УВЗ12
25,506070,-,F,6,FA,1,6/16/2015,58,0,44,21,ПРОФОТ,0,7/16/2022,ПРОФ2
26,506070,-,F,6,FA,1,6/16/2015,58,0,18,21,ОТЕЛ,0,7/16/2022,-
27,506070,-,F,6,FA,1,6/16/2015,58,0,44,21,ПЕРЕВОД,1,7/17/2022,F044T021
28,506070,-,F,6,FA,1,6/16/2015,58,0,44,21,ПРОДАНА,2,7/18/2022,ПРОДАНА ; МясоКомбинат ; УВЗ13
29,506070,-,F,6,FA,1,6/16/2015,58,0,21,21,ПЕРЕВОД,2,7/18/2022,F021T044
30,507013,507013,F,5,FA,1,7/3/2015,66,132,41,12,БОЛЕЗНЬ,304,7/6/2022,СУСТАВ
31,507013,507013,F,5,FA,1,7/3/2015,66,134,41,12,ПЕРЕВОД,306,7/8/2022,F041T012
32,507013,507013,F,5,FA,1,7/3/2015,66,134,12,12,ЗДОРОВА,306,7/8/2022,ХРОМОТА
33,507013,507013,F,5,FA,1,7/3/2015,66,139,7,12,СТЕЛН,316,7/18/2022,95 ДНИ
34,508084,508084,F,5,MA,1,8/19/2015,63,268,6,17,СУХОСТ,283,7/3/2022,-
35,500582,500582,F,5,MA,1,9/22/2015,64,78,4,1,СТЕЛН,122,7/18/2022,34 ДНИ
36,500582,500582,F,5,MA,1,9/22/2015,64,78,4,1,РАСЧКОП,125,7/21/2022,КАН
37,500773,-,F,4,MA,1,11/18/2015,64,276,17,17,ВАКЦИН,403,7/5/2022,СКОУ
38,500773,-,F,4,MA,1,11/18/2015,64,276,17,17,СУХ2,403,7/5/2022,-
39,500773,500773,F,5,MA,1,11/18/2015,59,0,18,4,ОТЕЛ,0,7/31/2022,-
40,512060,512060,F,4,MAMA,1,12/11/2015,56,138,10,6,ПЕРЕВОД,262,7/16/2022,F010T006
41,512060,512060,F,4,MAMA,1,12/11/2015,56,138,6,6,СТЕЛН,264,7/18/2022,94 ДНИ
42,512175,512175,F,5,FA,1,12/31/2015,55,0,44,2,ПРОФОТ,0,7/20/2022,ПРОФ2
43,512175,512175,F,5,FA,1,12/31/2015,55,0,18,2,ОТЕЛ,0,7/20/2022,-
44,512175,512175,F,5,FA,1,12/31/2015,55,0,44,2,ПЕРЕВОД,1,7/21/2022,F044T021
45,512175,512175,F,5,FA,1,12/31/2015,55,0,21,2,МАСТИТ,5,7/25/2022,"КМ3_1,4"
46,601055,601055,F,4,FA,1,1/9/2016,61,268,7,17,СУХОСТ,321,7/3/2022,-
47,601062,601062,F,4,FD,2,1/11/2016,61,164,42,10,БОЛЕЗНЬ,223,7/3/2022,ТОЩ
48,601062,601062,F,4,FD,2,1/11/2016,61,164,10,10,ПЕРЕВОД,223,7/3/2022,F010T042
49,601062,601062,F,4,FD,2,1/11/2016,61,164,42,10,ПРОДАНА,224,7/4/2022,ПРОДАНА ; Болезни ЖКТ ; УВЗ3
50,601178,601178,F,5,FA,1,1/30/2016,58,0,2,10,МЕТРИТ,17,7/5/2022,Э3
51,601178,601178,F,5,FA,1,1/30/2016,58,0,2,10,НА_СХЕМУ,23,7/11/2022,11
52,601178,601178,F,5,FA,1,1/30/2016,58,0,2,10,ЗДОРОВА,24,7/12/2022,ГИНЕКОЛ
53,601178,601178,F,5,FA,1,1/30/2016,58,0,23,10,ПЕРЕВОД,30,7/18/2022,F023T010
54,602110,602110,F,5,MA,1,2/16/2016,62,194,10,10,РАСЧКОП,225,7/28/2022,РДК
55,603084,603084,F,4,FA,1,3/15/2016,48,257,6,17,РАСЧКОП,375,7/16/2022,КАН
56,603084,603084,F,4,FA,1,3/15/2016,48,257,6,17,ПЕРЕВОД,375,7/16/2022,F006T007
57,603084,603084,F,4,FA,1,3/15/2016,48,257,7,17,СТЕЛН,377,7/18/2022,213 ДНИ
58,603084,603084,F,4,FA,1,3/15/2016,48,257,7,17,СУХОСТ,380,7/21/2022,CEBA
59,603144,603144,F,5,MA,1,3/26/2016,62,0,18,2,ОТЕЛ,0,7/20/2022,-
60,603144,603144,F,5,MA,1,3/26/2016,62,0,44,2,ПРОФОТ,0,7/20/2022,ПРОФ2
61,603144,603144,F,5,MA,1,3/26/2016,62,0,44,2,ПЕРЕВОД,1,7/21/2022,F044T021
62,603144,603144,F,5,MA,1,3/26/2016,62,0,21,2,ПЕРЕВОД,7,7/27/2022,F021T002
63,603144,603144,F,5,MA,1,3/26/2016,62,0,2,2,РАСЧКОП,9,7/29/2022,РДК
64,604028,604028,F,5,FA,1,4/5/2016,62,141,6,42,ХРОМОТА,189,7/26/2022,H1_4
65,604028,604028,F,5,FA,1,4/5/2016,62,141,6,42,ПЕРЕВОД,192,7/29/2022,F006T012
66,604033,604033,F,5,FA,1,4/5/2016,63,159,10,5,ПЕРЕВОД,182,7/20/2022,F010T005
67,604069,604069,F,4,FA,1,4/11/2016,63,0,5,1,ПРОДАНА,350,7/13/2022,ПРОДАНА ; Причина 12 ; УВЗ12
68,604090,604090,F,5,FA,1,4/14/2016,64,80,4,12,СТЕЛН,129,7/11/2022,31 ДНИ
69,604090,604090,F,5,FA,1,4/14/2016,64,82,4,12,РАСЧКОП,132,7/14/2022,КАН
70,604122,604122,F,4,FA,1,4/19/2016,60,200,41,17,СУХОСТ,348,7/1/2022,-
71,604122,604122,F,4,FA,1,4/19/2016,60,200,45,17,ХРОМОТА,359,7/12/2022,N1_3
72,604122,604122,F,4,FA,1,4/19/2016,60,200,45,17,ХРОМОТА,367,7/20/2022,"H1_3,4"
73,604175,604175,F,4,FA,1,4/27/2016,72,282,17,17,СУХ2,347,7/5/2022,-
74,604175,604175,F,4,FA,1,4/27/2016,72,282,17,17,ВАКЦИН,347,7/5/2022,СКОУ
75,605021,605021,F,5,FA,1,5/4/2016,60,0,12,12,ХРОМОТА,130,7/1/2022,H1_3
76,605021,605021,F,5,FA,1,5/4/2016,60,0,12,12,ЯЛОВАЯ,133,7/4/2022,БЖТ
77,605021,605021,F,5,FA,1,5/4/2016,60,0,12,12,ЗДОРОВА,134,7/5/2022,ХРОМОТА
78,605021,605021,F,5,FA,1,5/4/2016,60,0,12,12,НА_СХЕМУ,134,7/5/2022,15
79,605021,605021,F,5,FA,1,5/4/2016,60,0,4,12,НА_СХЕМУ,144,7/15/2022,9
80,605021,605021,F,5,FA,1,5/4/2016,60,0,4,12,ОСЕМЕН,144,7/15/2022,ANSVER
81,605092,605092,F,4,FA,1,5/18/2016,65,273,17,17,СУХ2,311,7/19/2022,-
82,605092,605092,F,4,FA,1,5/18/2016,65,273,17,17,ВАКЦИН,311,7/19/2022,СКОУ
83,605121,605121,F,5,FA,1,5/25/2016,64,0,2,10,ЗДОРОВА,24,7/4/2022,ГИНЕКОЛ
84,605121,605121,F,5,FA,1,5/25/2016,64,0,2,10,НА_СХЕМУ,24,7/4/2022,11
85,605121,605121,F,5,FA,1,5/25/2016,64,0,23,10,ПЕРЕВОД,26,7/6/2022,F023T010
86,606008,606008,F,4,MA,1,6/2/2016,68,224,7,7,СТЕЛН,273,7/18/2022,213 ДНИ
87,606008,606008,F,4,MA,1,6/2/2016,68,224,7,7,СУХОСТ,276,7/21/2022,CEBA
88,606008,606008,F,4,MA,1,6/2/2016,68,224,17,7,ПАЛА,284,7/29/2022,ПАЛА ; Прочее ; УВЗ8
89,606021,606021,F,5,MA,1,6/4/2016,57,0,18,21,ОТЕЛ,0,7/22/2022,-
90,606021,606021,F,5,MA,1,6/4/2016,57,0,44,21,ПОСЛЕД,0,7/22/2022,ПОСЛЕД2
91,606021,606021,F,5,MA,1,6/4/2016,57,0,44,21,ПЕРЕВОД,0,7/22/2022,F044T021
92,606021,606021,F,5,MA,1,6/4/2016,57,0,21,21,МАСТИТ,1,7/23/2022,КМ3_2
93,606021,606021,F,5,MA,1,6/4/2016,57,0,21,21,РАСЧКОП,2,7/24/2022,КАН
94,606021,606021,F,5,MA,1,6/4/2016,57,0,21,21,ПЕРЕВОД,6,7/28/2022,F021T044
95,606021,606021,F,5,MA,1,6/4/2016,57,0,44,21,НЕОСЕМ,6,7/28/2022,МАСТИТ
96,606021,606021,F,5,MA,1,6/4/2016,57,0,44,21,ПРОДАНА,9,7/31/2022,ПРОДАНА ; Травмы ; УВЗ5
97,606027,606027,F,5,MA,1,6/5/2016,59,80,4,1,СТЕЛН,93,7/11/2022,31 ДНИ
98,606027,606027,F,5,MA,1,6/5/2016,59,82,4,1,РАСЧКОП,110,7/28/2022,РДК
99,606046,606046,F,5,FA,1,6/7/2016,59,0,44,23,ПРОФОТ,0,7/17/2022,ПРОФ2
100,606046,606046,F,5,FA,1,6/7/2016,59,0,18,23,ОТЕЛ,0,7/17/2022,-
101,606046,606046,F,5,FA,1,6/7/2016,59,0,44,23,ПЕРЕВОД,1,7/18/2022,F044T021
102,606046,606046,F,5,FA,1,6/7/2016,59,0,2,23,РАСЧКОП,8,7/25/2022,РДК
103,606046,606046,F,5,FA,1,6/7/2016,59,0,21,23,ПЕРЕВОД,8,7/25/2022,F021T002
104,606098,606098,F,5,MA,1,6/16/2016,61,131,10,2,СТЕЛН,153,7/25/2022,94 ДНИ
105,606120,606120,F,4,MD,1,6/20/2016,65,0,5,3,НЕОСЕМ,261,7/18/2022,ЗООТЕХ
106,606120,606120,F,4,MD,1,6/20/2016,65,0,5,3,ЯЛОВАЯ,261,7/18/2022,БРАК
107,606120,606120,F,4,MD,1,6/20/2016,65,0,5,3,МАСТИТ,268,7/25/2022,СКМ6_2
108,606120,606120,F,4,MD,1,6/20/2016,65,0,5,3,БОЛЕЗНЬ,268,7/25/2022,РИН2
109,606120,606120,F,4,MD,1,6/20/2016,65,0,5,3,ПЕРЕВОД,268,7/25/2022,F005T003
110,606149,606149,F,5,FA,1,6/25/2016,59,94,5,5,РАСЧКОП,176,7/4/2022,КАН
111,606157,606157,F,5,MA,1,6/26/2016,55,0,44,23,ПРОФОТ,0,7/6/2022,ПРОФ2
112,606157,606157,F,5,MA,1,6/26/2016,55,0,18,23,ОТЕЛ,0,7/6/2022,-
113,606157,606157,F,5,MA,1,6/26/2016,55,0,44,23,ПЕРЕВОД,1,7/7/2022,F044T021
114,606157,606157,F,5,MA,1,6/26/2016,55,0,21,23,КЕТОЗ,8,7/14/2022,КЕТОЗ1
115,606157,606157,F,5,MA,1,6/26/2016,55,0,21,23,ПЕРЕВОД,13,7/19/2022,F021T002
116,606157,606157,F,5,MA,1,6/26/2016,55,0,2,23,РАСЧКОП,15,7/21/2022,КАН
117,606157,606157,F,5,MA,1,6/26/2016,55,0,2,23,МЕТРИТ,17,7/23/2022,Э3
118,607011,-,F,5,FD,1,7/2/2016,61,0,44,18,ПОСЛЕД,0,7/5/2022,ПОСЛЕД2
119,607011,-,F,5,FD,1,7/2/2016,61,0,18,18,ОТЕЛ,0,7/5/2022,-
120,607011,-,F,5,FD,1,7/2/2016,61,0,44,18,ПРОДАНА,3,7/8/2022,ПРОДАНА ; Агалактия ; УВЗ9
121,607056,607056,F,5,FA,1,7/11/2016,58,0,44,4,ПРОФОТ,0,7/16/2022,ПРОФ2
122,607056,607056,F,5,FA,1,7/11/2016,58,0,18,4,ОТЕЛ,0,7/16/2022,-
123,607056,607056,F,5,FA,1,7/11/2016,58,0,44,4,ПЕРЕВОД,1,7/17/2022,F044T021
124,607056,607056,F,5,FA,1,7/11/2016,58,0,21,4,ПЕРЕВОД,9,7/25/2022,F021T002
125,607056,607056,F,5,FA,1,7/11/2016,58,0,2,4,РАСЧКОП,9,7/25/2022,РДК
126,607067,607067,F,5,MA,3,7/13/2016,51,0,2,10,НА_СХЕМУ,23,7/4/2022,11
127,607067,607067,F,5,MA,3,7/13/2016,51,0,2,10,ЗДОРОВА,23,7/4/2022,ГИНЕКОЛ
128,607067,607067,F,5,MA,3,7/13/2016,51,0,23,12,ПЕРЕВОД,25,7/6/2022,F023T010
129,607083,-,F,4,FA,1,7/16/2016,64,279,45,18,БОЛЕЗНЬ,340,7/18/2022,ПУТЫ
130,607083,-,F,4,FA,1,7/16/2016,64,279,18,18,ПЕРЕВОД,340,7/18/2022,F018T045
131,607083,607083,F,5,FA,1,7/16/2016,63,0,45,45,ОТЕЛ,0,7/21/2022,-
132,607083,607083,F,5,FA,1,7/16/2016,63,0,44,45,НЕОСЕМ,5,7/26/2022,СУСТАВ
133,607083,607083,F,5,FA,1,7/16/2016,63,0,44,45,ПРОДАНА,7,7/28/2022,ПРОДАНА ; Причина 12 ; УВЗ12
134,607106,607106,F,5,FA,1,7/21/2016,58,0,1,44,БОЛЕЗНЬ,61,7/7/2022,СУСТАВ
135,607106,607106,F,5,FA,1,7/21/2016,58,0,1,44,БОЛЕЗНЬ,85,7/31/2022,СУСТАВ
136,607128,607128,F,4,MAMA,1,7/24/2016,62,0,3,43,ПЕРЕВОД,397,7/4/2022,F003T043
137,607128,607128,F,4,MAMA,1,7/24/2016,62,0,5,43,ПЕРЕВОД,397,7/4/2022,F005T003
138,607128,607128,F,4,MAMA,1,7/24/2016,62,0,43,43,ПРОДАНА,406,7/13/2022,ПРОДАНА ; Причина 12 ; УВЗ12
139,607133,607133,F,5,MA,1,7/24/2016,61,131,10,10,СТЕЛН,153,7/25/2022,94 ДНИ
140,608026,608026,F,5,MAMA,1,8/4/2016,61,0,2,4,МЕТРИТ,18,7/1/2022,Э3
141,608026,608026,F,5,MAMA,1,8/4/2016,61,0,2,4,НА_СХЕМУ,21,7/4/2022,11
142,608026,608026,F,5,MAMA,1,8/4/2016,61,0,2,4,ПЕРЕВОД,28,7/11/2022,F002T023
143,608026,608026,F,5,MAMA,1,8/4/2016,61,0,23,4,ПЕРЕВОД,29,7/12/2022,F023T004
144,608026,608026,F,5,MAMA,1,8/4/2016,61,0,4,4,БОЛЕЗНЬ,31,7/14/2022,АБС1
145,608026,608026,F,5,MAMA,1,8/4/2016,61,0,4,4,ПЕРЕВОД,31,7/14/2022,F004T042
146,608026,608026,F,5,MAMA,1,8/4/2016,61,0,42,4,ПРОДАНА,41,7/24/2022,ПРОДАНА ; Травмы ; УВЗ5
147,608099,608099,F,4,FD,1,8/15/2016,61,257,7,17,РАСЧКОП,341,7/16/2022,КАН
148,608099,608099,F,4,FD,1,8/15/2016,61,257,7,17,СТЕЛН,343,7/18/2022,213 ДНИ
149,608099,608099,F,4,FD,1,8/15/2016,61,257,7,17,СУХОСТ,346,7/21/2022,CEBA
150,608107,-,F,4,FA,1,8/17/2016,71,268,17,17,ВАКЦИН,314,7/13/2022,СКОУ
151,608107,-,F,4,FA,1,8/17/2016,71,268,17,17,СУХ2,314,7/13/2022,-
152,608107,608107,F,5,MA,1,8/17/2016,52,0,44,10,ПРОФОТ,0,7/31/2022,ПРОФ2
153,608107,608107,F,5,MA,1,8/17/2016,52,0,18,10,ОТЕЛ,0,7/31/2022,-
154,608159,-,F,5,MA,2,8/27/2016,58,0,18,18,ОТЕЛ,0,7/9/2022,-
155,608159,-,F,5,MA,2,8/27/2016,58,0,44,18,ПАРЕЗ,0,7/9/2022,ПАРЕЗ
156,608159,-,F,5,MA,2,8/27/2016,58,0,44,18,МЕТРИТ,0,7/9/2022,Э1
157,608159,-,F,5,MA,2,8/27/2016,58,0,44,18,ПРОДАНА,2,7/11/2022,ПРОДАНА ; Послеродовое ; УВЗ2
158,608184,608184,F,4,MA,1,8/31/2016,60,269,7,17,СУХОСТ,299,7/3/2022,CEBA
159,608184,608184,F,4,MA,1,8/31/2016,60,272,17,17,СУХ2,322,7/26/2022,-
160,608184,608184,F,4,MA,1,8/31/2016,60,272,17,17,ВАКЦИН,322,7/26/2022,СКОУ
161,609055,609055,F,5,FA,1,9/9/2016,60,0,44,4,МЕТРИТ,0,7/25/2022,Э1
162,609055,609055,F,5,FA,1,9/9/2016,60,0,18,4,ОТЕЛ,0,7/25/2022,-
163,609055,609055,F,5,FA,1,9/9/2016,60,0,44,4,ПЕРЕВОД,1,7/26/2022,F044T021
164,609055,609055,F,5,FA,1,9/9/2016,60,0,21,4,ПЕРЕВОД,5,7/30/2022,F021T002
165,609116,609116,F,4,FA,1,9/20/2016,68,0,12,12,ПЕРЕВОД,274,7/19/2022,F012T041
166,609116,609116,F,4,FA,1,9/20/2016,68,0,41,12,ХРОМОТА,280,7/25/2022,"H2_3,4"
167,609149,609149,F,4,FA,1,9/25/2016,45,143,4,43,СТЕЛН,155,7/11/2022,94 ДНИ
168,609149,609149,F,4,FA,1,9/25/2016,45,145,4,43,ПЕРЕВОД,167,7/23/2022,F004T023
169,609149,609149,F,4,FA,1,9/25/2016,45,145,23,43,ПЕРЕВОД,170,7/26/2022,F023T010
170,610033,610033,F,4,MA,1,10/6/2016,68,0,4,3,ПЕРЕВОД,132,7/11/2022,F004T003
171,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,МАСТИТ,132,7/11/2022,КМ3_3
172,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,ЯЛОВАЯ,139,7/18/2022,ЖТ
173,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,НА_СХЕМУ,140,7/19/2022,2
174,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,НА_СХЕМУ,143,7/22/2022,9
175,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,ОСЕМЕН,143,7/22/2022,7H14578
176,610033,610033,F,4,MA,1,10/6/2016,68,0,3,3,ПЕРЕВОД,146,7/25/2022,F003T043
177,610071,610071,F,4,MA,3,10/14/2016,65,117,10,3,РАСЧКОП,230,7/14/2022,КАН
178,610099,610099,F,5,MA,1,10/19/2016,57,0,10,10,ОСЕМЕН,63,7/15/2022,ANSVER
179,610099,610099,F,5,MA,1,10/19/2016,57,0,10,10,НА_СХЕМУ,63,7/15/2022,9
180,610123,610123,F,4,FA,1,10/23/2016,55,267,17,17,СУХ2,314,7/19/2022,-
181,610123,610123,F,4,FA,1,10/23/2016,55,267,17,17,ВАКЦИН,314,7/19/2022,СКОУ
182,611078,611078,F,3,FA,1,11/14/2016,63,0,5,12,ПРОДАНА,498,7/13/2022,ПРОДАНА ; Причина 12 ; УВЗ12
183,611115,611115,F,4,MA,1,11/20/2016,60,277,17,17,ВАКЦИН,309,7/13/2022,СКОУ
184,611115,611115,F,4,MA,1,11/20/2016,60,277,17,17,СУХ2,309,7/13/2022,-
185,611118,611118,F,4,FA,1,11/20/2016,63,0,10,10,НЕОСЕМ,243,7/4/2022,-
186,611118,611118,F,4,FA,1,11/20/2016,63,0,10,10,ЯЛОВАЯ,243,7/4/2022,ЖТ
187,611136,611136,F,4,MA,1,11/23/2016,63,166,10,2,РАСЧКОП,238,7/28/2022,РДК
188,611146,611146,F,4,FA,3,11/25/2016,67,271,7,17,СУХОСТ,300,7/3/2022,CEBA
189,611146,611146,F,4,FA,1,11/25/2016,67,277,17,17,ВАКЦИН,323,7/26/2022,СКОУ
190,611146,611146,F,4,FA,1,11/25/2016,67,277,17,17,СУХ2,323,7/26/2022,-
191,611154,611154,F,3,FA,1,11/26/2016,48,0,12,12,РАСЧКОП,567,7/5/2022,КАН
192,611154,611154,F,3,FA,1,11/26/2016,48,0,12,12,ХРОМОТА,567,7/5/2022,V3_3
193,611154,611154,F,3,FA,1,11/26/2016,48,0,7,12,ПЕРЕВОД,567,7/5/2022,F007T012
194,611154,611154,F,3,FA,1,11/26/2016,48,0,12,12,ХРОМОТА,570,7/8/2022,V1_3
195,611154,611154,F,3,FA,1,11/26/2016,48,0,12,12,ЗДОРОВА,574,7/12/2022,ХРОМОТА
196,611154,611154,F,3,FA,1,11/26/2016,48,0,5,12,ПРОДАНА,575,7/13/2022,ПРОДАНА ; Причина 12 ; УВЗ12
197,612019,612019,F,4,FA,1,12/4/2016,70,75,10,10,СТЕЛН,95,7/18/2022,31 ДНИ
198,612041,612041,F,4,MA,1,12/8/2016,62,268,7,17,СУХОСТ,313,7/3/2022,CEBA
199,612046,612046,F,4,FA,1,12/8/2016,58,0,5,5,ЯЛОВАЯ,191,7/18/2022,ЖТ
200,612046,612046,F,4,FA,1,12/8/2016,58,0,5,5,НА_СХЕМУ,192,7/19/2022,2
201,612046,612046,F,4,FA,1,12/8/2016,58,0,5,5,ОСЕМЕН,195,7/22/2022,ANSVER
202,612046,612046,F,4,FA,1,12/8/2016,58,0,5,5,НА_СХЕМУ,195,7/22/2022,9
203,612062,612062,F,4,MA,1,12/12/2016,63,0,44,21,ПРОФОТ,0,7/1/2022,ПРОФ2
204,612062,612062,F,4,MA,1,12/12/2016,63,0,18,21,ОТЕЛ,0,7/1/2022,-
205,612062,612062,F,4,MA,1,12/12/2016,63,0,44,21,ПЕРЕВОД,1,7/2/2022,F044T021
206,612062,612062,F,4,MA,1,12/12/2016,63,0,21,21,ПЕРЕВОД,15,7/16/2022,F021T044
207,612062,612062,F,4,MA,1,12/12/2016,63,0,44,21,НЕОСЕМ,16,7/17/2022,МАСТИТ
208,612062,612062,F,4,MA,1,12/12/2016,63,0,44,21,ПРОДАНА,19,7/20/2022,ПРОДАНА ; Болезни ЖКТ ; УВЗ3
209,612070,612070,F,4,FA,1,12/12/2016,65,121,4,10,ПЕРЕВОД,169,7/3/2022,F004T010
210,612070,612070,F,4,FA,1,12/12/2016,65,131,10,10,СТЕЛН,191,7/25/2022,94 ДНИ
211,612116,612116,F,3,MD,1,12/21/2016,62,277,17,17,СУХ2,440,7/26/2022,-
212,612116,612116,F,3,MD,1,12/21/2016,62,277,17,17,ВАКЦИН,440,7/26/2022,СКОУ
213,612117,612117,F,4,FA,1,12/21/2016,62,250,7,6,СТЕЛН,278,7/25/2022,213 ДНИ
214,612117,612117,F,4,FA,1,12/21/2016,62,250,6,6,СУХОСТ,282,7/29/2022,CEBA
215,612117,612117,F,4,FA,1,12/21/2016,62,250,7,6,ПЕРЕВОД,282,7/29/2022,F007T006
216,701013,701013,F,3,MA,1,1/3/2017,62,0,5,3,МАСТИТ,431,7/17/2022,КМ6_2
217,701013,701013,F,3,MA,1,1/3/2017,62,0,5,3,ПЕРЕВОД,431,7/17/2022,F005T003
218,701013,701013,F,3,MA,1,1/3/2017,62,0,3,3,ПЕРЕВОД,432,7/18/2022,F003T043
219,701013,701013,F,3,MA,1,1/3/2017,62,0,43,3,ПРОДАНА,441,7/27/2022,ПРОДАНА ; Причина 12 ; УВЗ12
220,701048,701048,F,4,MA,3,1/7/2017,69,110,10,6,ПЕРЕВОД,193,7/16/2022,F010T006
221,701062,701062,F,4,FA,1,1/9/2017,55,0,4,50,ПЕРЕВОД,79,7/1/2022,F004T003
222,701062,701062,F,4,FA,1,1/9/2017,55,0,3,50,МАСТИТ,79,7/1/2022,КМ1_234
223,701062,701062,F,4,FA,1,1/9/2017,55,0,3,50,ЗДОРОВА,86,7/8/2022,МАСТИТ
224,701062,701062,F,4,FA,1,1/9/2017,55,0,43,50,БОЛЕЗНЬ,86,7/8/2022,ПОНОС2
225,701062,701062,F,4,FA,1,1/9/2017,55,0,42,50,НЕОСЕМ,96,7/18/2022,ЗДОРОВЬЕ
226,701062,701062,F,4,FA,1,1/9/2017,55,0,42,50,ЯЛОВАЯ,96,7/18/2022,БРАК
227,701062,701062,F,4,FA,1,1/9/2017,55,0,42,50,ЗДОРОВА,102,7/24/2022,ПРОЧЕЕ
228,701110,701110,F,4,MA,1,1/17/2017,65,187,6,7,ПЕРЕВОД,238,7/16/2022,F006T007
229,701110,701110,F,4,MA,1,1/17/2017,65,187,6,7,РАСЧКОП,238,7/16/2022,КАН
230,701142,701142,F,3,FA,1,1/22/2017,61,193,12,12,ХРОМОТА,259,7/5/2022,H2_3
231,701142,701142,F,3,FA,1,1/22/2017,61,193,6,12,ПЕРЕВОД,259,7/5/2022,F006T012
232,701142,701142,F,3,FA,1,1/22/2017,61,193,12,12,РАСЧКОП,259,7/5/2022,КАН
233,701142,701142,F,3,FA,1,1/22/2017,61,196,12,12,ЗДОРОВА,262,7/8/2022,ХРОМОТА
234,701162,701162,F,4,MA,1,1/26/2017,59,0,44,2,БОЛЕЗНЬ,28,7/3/2022,ТОЩ
235,701162,701162,F,4,MA,1,1/26/2017,59,0,44,2,ПРОДАНА,31,7/6/2022,ПРОДАНА ; Прочее ; УВЗ4
236,702007,702007,F,4,MA,1,2/1/2017,68,273,17,17,СУХ2,309,7/13/2022,-
237,702007,702007,F,4,MA,1,2/1/2017,68,273,17,17,ВАКЦИН,309,7/13/2022,СКОУ
238,702015,702015,F,4,MA,1,2/3/2017,61,0,5,3,ОСЕМЕН,207,7/1/2022,7H14578
